Dutch,English,Level
inzicht het,insight the,A2/B1
kapotmaken,to destroy,A2/B1
kinderopvang de,childcare the,A2/B1
lek,flat,A2/B1
nadoen,to imitate,A2/B1
observeren,to observe,A2/B1
ontwikkelen,to develop,A2/B1
opgeven,to give up,A2/B1
opmeten,to measure,A2/B1
plank de,plank the,A2/B1
schaken,to play chess,A2/B1
scheef,crooked,A2/B1
sorteren,to sort,A2/B1
stem de,voice the,A2/B1
techniek de,technique the,A2/B1
technisch,technical,A2/B1
timmerman de,carpenter the,A2/B1
voordoen,to show,A2/B1
werkplaats de,workshop the,A2/B1
zagen,to saw,A2/B1
A2/B1 - 5 - 1
ademen,to breathe,A2/B1
afmaken,to finish,A2/B1
bijkomen,to recuperate,A2/B1
commentaar het,comment the,A2/B1
flauw,silly,A2/B1
fris,fresh,A2/B1
gamen,to game,A2/B1
gedachte de,thought the,A2/B1
gestoord,crazy,A2/B1
herrie de,noise the,A2/B1
irriteren,to irritate,A2/B1
kinderachtig,childish,A2/B1
kleed het,blanket the,A2/B1
opmerking de,remark the,A2/B1
picknicken,to picnic,A2/B1
roman de,novel the,A2/B1
rondje het,(-) (to go out for a run),A2/B1
uitgeput,exhausted,A2/B1
voorstelling de,performance the,A2/B1
wandeling de,walk the,A2/B1
weigeren,to refuse,A2/B1
zich vermaken,to enjoy oneself,A2/B1
zich vervelen,to be bored,A2/B1
zonnig,sunny,A2/B1
A2/B1 - 5 - 2
afsluiting de,conclusion the,A2/B1
ballon de,balloon the,A2/B1
bel de,doorbell the,A2/B1
boot de,boat the,A2/B1
burgemeester de,mayor the,A2/B1
drankje het,drink the,A2/B1
dronken,drunk,A2/B1
dweil de,mop the,A2/B1
emmer de,bucket the,A2/B1
feesten,to party,A2/B1
fotograferen,to take photos,A2/B1
gebruikelijk,customary,A2/B1
grootouder de,grandparent the,A2/B1
inhuren,to hire,A2/B1
jubileum het,anniversary the,A2/B1
nieuwsgierig,curious,A2/B1
onvergetelijk,unforgettable,A2/B1
professioneel,professional,A2/B1
rondleiding de,tour the,A2/B1
spanning de,excitement the,A2/B1
varen,to sail,A2/B1
verbouwen,to renovate,A2/B1
verrast,surprised,A2/B1
versieren,to decorate,A2/B1
vooraf,in advance,A2/B1
voorbijgaan,to be over,A2/B1
vrijgezel de,bachelor the,A2/B1
zaal de,hall the,A2/B1
A2/B1 - 5 - 3
aardbei de,strawberry the,A2/B1
biologisch,organic,A2/B1
checken,to check,A2/B1
dorst de,thirst the,A2/B1
dun,thin,A2/B1
eigenaar de,owner the,A2/B1
gehakt het,mincemeat the,A2/B1
gerecht het,dish the,A2/B1
gewicht het,weight the,A2/B1
inleveren,to hand in,A2/B1
klaarmaken,to prepare,A2/B1
lepel de,spoon the,A2/B1
ober de,waiter the,A2/B1
ontdooien,to thaw,A2/B1
overwerken,to work overtime,A2/B1
portie de,portion the,A2/B1
prijzig,expensive,A2/B1
saus de,sauce the,A2/B1
schat de,sweetheart the,A2/B1
slagroom de,whipped cream the,A2/B1
spinazie de,spinach the,A2/B1
vaatwasser de,dishwasher the,A2/B1
vermoeden,to suspect,A2/B1
vork de,fork the,A2/B1
A2/B1 - 5 - 4
aangeven,to report,A2/B1
alsnog,still,A2/B1
arbeidsovereenkomst de,employment contract the,A2/B1
behoud het,preservation the,A2/B1
berekenen,to calculate,A2/B1
bestemming de,destination the,A2/B1
bezwaar het,objection the,A2/B1
bouw de,construction the,A2/B1
collectief,collective,A2/B1
doorbetalen,to continue to pay,A2/B1
geval het,case the,A2/B1
leiden tot,to lead to,A2/B1
minimum het,minimum the,A2/B1
opmaken,to use up,A2/B1
opnemen,to take,A2/B1
recht het,right the,A2/B1
schriftelijk,in writing,A2/B1
stimuleren,to stimulate,A2/B1
tellen,to count,A2/B1
vaststaan,to fix,A2/B1
verblijven,to stay,A2/B1
vervallen,to expire,A2/B1
zich houden aan,to abide by,A2/B1
zogenaamd,so-called,A2/B1
A2/B1 - 4 - 1
akkoord het,agreement the,A2/B1
arbeidsvoorwaarden de,working conditions the,A2/B1
cao de,collective labour agreement the,A2/B1
communicatie de,communication the,A2/B1
contract het,contract the,A2/B1
doorgroeien,to grow,A2/B1
Europeaan de,European the,A2/B1
indicatie de,indication the,A2/B1
inkomsten de,income the,A2/B1
loonsverhoging de,wage increase the,A2/B1
masteropleiding de,master's programme the,A2/B1
netto,net,A2/B1
onderhandelen,to negotiate,A2/B1
ongemakkelijk,uncomfortable,A2/B1
redden,to rescue,A2/B1
salarisschaal de,salary scale the,A2/B1
strategie de,strategy the,A2/B1
tegenvallen,to be a disappointment,A2/B1
uitvoeren,to execute,A2/B1
vakantiedag de,day off the,A2/B1
verdeling de,division the,A2/B1
voorkomen,to occur,A2/B1
voorstel het,proposal the,A2/B1
willekeurig,random,A2/B1
zzp'er de,self-employed person the,A2/B1
A2/B1 - 4 - 2
administratie de,administration the,A2/B1
afrekenen,to pay,A2/B1
briefje het,bill the,A2/B1
fooi de,tip the,A2/B1
gedoe het,fuss the,A2/B1
gênant,embarrassing,A2/B1
goede doel het,charity the,A2/B1
kleingeld het,change the,A2/B1
koek de,cookie the,A2/B1
los,loose,A2/B1
middel het,means the,A2/B1
munt de,coin the,A2/B1
naïef,naïve,A2/B1
ouderwets,old-fashioned,A2/B1
overmaken,to transfer,A2/B1
portemonnee de,wallet the,A2/B1
saldo het,balance the,A2/B1
technologie de,technology the,A2/B1
terugbetalen,to pay back,A2/B1
tonijn de,tuna the,A2/B1
trakteren,to treat,A2/B1
verzoek het,request the,A2/B1
voorbij,over,A2/B1
voorschieten,to advance (the money),A2/B1
zich haasten,to hurry,A2/B1
A2/B1 - 4 - 3
aansprakelijk,liable,A2/B1
afsluiten,to take out (insurance),A2/B1
ander de,other (person) the,A2/B1
antiek,antique,A2/B1
bal de,ball the,A2/B1
buitenkant de,outside the,A2/B1
dekken,to cover,A2/B1
diefstal de,theft the,A2/B1
eigendom het,property the,A2/B1
inboedel de,household contents the,A2/B1
kopie de,copy the,A2/B1
lekkage de,leakage the,A2/B1
onverwacht,unexpected,A2/B1
opzet de,purpose the,A2/B1
ruil de,exchange the,A2/B1
ruit de,window the,A2/B1
schade de,damage the,A2/B1
trappen,to kick,A2/B1
vaas de,vase the,A2/B1
vergoeding de,compensation the,A2/B1
verzekeraar de,insurer the,A2/B1
visite de,visit the,A2/B1
voertuig het,vehicle the,A2/B1
vrijwillig,voluntarily,A2/B1
wet de,law the,A2/B1
wettelijk,by law,A2/B1
A2/B1 - 4 - 4
belediging de,insult the,A2/B1
bijdragen,to contribute,A2/B1
bruidspaar het,bride and groom the,A2/B1
brutaal,disrespectful,A2/B1
eer de,honour the,A2/B1
envelop de,envelope the,A2/B1
frituurpan de,fryer the,A2/B1
goud,gold,A2/B1
horloge het,watch the,A2/B1
huishoudelijk,domestic,A2/B1
ketting de,necklace the,A2/B1
lieverd de,sweetheart the,A2/B1
meebrengen,to bring along,A2/B1
onpersoonlijk,impersonal,A2/B1
opscheppen,to brag,A2/B1
overdrijven,to exaggerate,A2/B1
respecteren,to respect,A2/B1
servies het,service the,A2/B1
staafmixer de,hand blender the,A2/B1
stiefvader de,stepfather the,A2/B1
suggestie de,suggestion the,A2/B1
terugbellen,to call back,A2/B1
zich aanpassen,to adapt,A2/B1
zilver,silver,A2/B1
A2/B1 - 14 - 1
andersom,the other way around,A2/B1
anderzijds,on the other hand,A2/B1
besturen,to run,A2/B1
commissie de,commission the,A2/B1
contributie de,contribution the,A2/B1
deelnemen,to participate,A2/B1
ellende de,misery the,A2/B1
enerzijds,on the one hand,A2/B1
fanatiek,fanatically,A2/B1
financiën de,finances the,A2/B1
hartelijk,warm-hearted,A2/B1
inhouden,to entail,A2/B1
onderhoud het,maintenance the,A2/B1
organisatie de,organization the,A2/B1
start de,start the,A2/B1
tennis de,game of tennis the,A2/B1
tennissen,to play tennis,A2/B1
trouw,loyal,A2/B1
uitgaan van,to assume,A2/B1
verwerken,to process,A2/B1
vrijblijvend,without obligation,A2/B1
wegblijven,to not show up,A2/B1
werven,to recruit,A2/B1
zich inzetten,to do one's best,A2/B1
A2/B1 - 14 - 2
aankijken,to look at,A2/B1
agressief,aggressive,A2/B1
arrogant,arrogant,A2/B1
artiest de,artist the,A2/B1
bewonderen,to admire,A2/B1
destijds,at the time,A2/B1
held de,hero the,A2/B1
idool het,idol the,A2/B1
incident het,incident the,A2/B1
klimmen,to climb,A2/B1
koningin de,queen the,A2/B1
kunstenaar de,artist the,A2/B1
meezingen,to sing along,A2/B1
mislukken,to fail,A2/B1
omhelzen,to hug,A2/B1
onderarm de,forearm the,A2/B1
speler de,player the,A2/B1
sporter de,athlete the,A2/B1
stadion het,stadium the,A2/B1
status de,status the,A2/B1
symbool het,symbol the,A2/B1
verdienen,to deserve,A2/B1
verlangen het,desire the,A2/B1
verward,confused,A2/B1
voetballer de,football player the,A2/B1
zangeres de,singer the,A2/B1
zenuwen de,nerves the,A2/B1
A2/B1 - 14 - 3
Afrikaans,African,A2/B1
afschuwelijk,terrible,A2/B1
afspelen,to play,A2/B1
band de,tyre the,A2/B1
box de,(loud)speaker the,A2/B1
dans de,dance the,A2/B1
elektronisch,electronic,A2/B1
fluit de,flute the,A2/B1
genre het,genre the,A2/B1
instrument het,instrument the,A2/B1
klassiek,classical,A2/B1
koptelefoon de,headphone the,A2/B1
muzikaal,musical,A2/B1
muzikant de,musician the,A2/B1
oordopje het,earphone the,A2/B1
orkest het,orchestra the,A2/B1
ritme het,rhythm the,A2/B1
smaak de,taste the,A2/B1
stilte de,silence the,A2/B1
trommel de,drum the,A2/B1
verpesten,to ruin,A2/B1
viool de,violin the,A2/B1
volks,folk,A2/B1
zang de,singing the,A2/B1
zanger de,singer the,A2/B1
A2/B1 - 14 - 4
alsmaar,continuously,A2/B1
benodigd,required,A2/B1
cultureel,cultural,A2/B1
dweilen,to mop,A2/B1
eenmaal,once,A2/B1
fotografie de,photography the,A2/B1
handelen,to act,A2/B1
herkenbaar,recognizable,A2/B1
indeling de,division the,A2/B1
langdurig,for a long time,A2/B1
lezer de,reader the,A2/B1
maaien,to mow,A2/B1
marathon de,marathon the,A2/B1
opvouwen,to fold,A2/B1
overblijven,to be left over,A2/B1
plas de,puddle the,A2/B1
schatten,to estimate,A2/B1
simpelweg,simply,A2/B1
stofzuigen,to hoover (US: to vacuum),A2/B1
toekomen aan,to get around to,A2/B1
uitspraak de,statement the,A2/B1
verplichting de,obligation the,A2/B1
verwaarlozen,to neglect,A2/B1
A2/B1 - 15 - 1
bekendmaken,to announce,A2/B1
betrokkenheid de,involvement the,A2/B1
ceremonieel,ceremonial,A2/B1
debat het,debate the,A2/B1
democratie de,democracy the,A2/B1
democratisch,democratic,A2/B1
erven,to inherit,A2/B1
financieren,to finance,A2/B1
grondwet de,constitution the,A2/B1
koningshuis het,royal house the,A2/B1
macht de,power the,A2/B1
meedelen,to communicate,A2/B1
minister de,minister the,A2/B1
minister-president de,prime minister the,A2/B1
monarchie de,monarchy the,A2/B1
nationaal,national,A2/B1
opvolgen,to succeed,A2/B1
paleis het,palace the,A2/B1
positie de,position the,A2/B1
prinses de,princess the,A2/B1
Prinsjesdag de,Prinsjesdag - the State Opening of Parliament,A2/B1
ramp de,disaster the,A2/B1
republiek de,republic the,A2/B1
staatshoofd het,head of state the,A2/B1
tegenstander de,opponent the,A2/B1
vertegenwoordigen,to represent,A2/B1
volk het,people the,A2/B1
voorlezen,to read out,A2/B1
voorstander de,supporter the,A2/B1
zakendoen,to do business,A2/B1
A2/B1 - 15 - 2
betaalbaar,affordable,A2/B1
burger de,citizen the,A2/B1
demonstreren,to demonstrate,A2/B1
detail het,detail the,A2/B1
duurzaamheid de,sustainability the,A2/B1
fietsenstalling de,bicycle parking facility the,A2/B1
gelijkheid de,equality the,A2/B1
gemeenteraad de,city council the,A2/B1
kwetsbaar,vulnerable,A2/B1
overtuiging de,conviction the,A2/B1
partij de,party the,A2/B1
planeet de,planet the,A2/B1
politicus de,politician the,A2/B1
protesteren,to protest,A2/B1
provinciaal,provincial,A2/B1
standpunt het,point of view the,A2/B1
stemmen,to vote,A2/B1
stemrecht het,right to vote the,A2/B1
strijden,to fight,A2/B1
Tweede Kamer de,House of Representatives of the Netherlands the,A2/B1
vaag,vague,A2/B1
verkiezing de,election the,A2/B1
visie de,vision the,A2/B1
zetel de,seat the,A2/B1
zich verdiepen,to delve (into),A2/B1
A2/B1 - 15 - 3
afkomst de,origins the,A2/B1
afwijkend,different,A2/B1
boer de,farmer the,A2/B1
complex,complex,A2/B1
dierlijk,animal-based,A2/B1
echtgenoot de,husband the,A2/B1
eeuwenlang,for centuries,A2/B1
gehandicapt,disabled,A2/B1
gezamenlijk,jointly,A2/B1
grootvader de,grandfather the,A2/B1
handicap de,disability the,A2/B1
hap de,bite the,A2/B1
heer de,gentleman the,A2/B1
ideologie de,ideology the,A2/B1
islamitisch,Islamic,A2/B1
katholiek,Catholic,A2/B1
kenmerk het,characteristic the,A2/B1
mentaliteit de,mentality the,A2/B1
multicultureel,multicultural,A2/B1
Offerfeest het,Feast of the Sacrifice the (Eid al-Adha),A2/B1
rolstoel de,wheelchair the,A2/B1
sindsdien,since then,A2/B1
vee het,cattle the,A2/B1
veganistisch,vegan,A2/B1
verrassend,surprising,A2/B1
A2/B1 - 15 - 4
belastingaangifte de,tax declaration the,A2/B1
buitenlander de,foreigner the,A2/B1
fase de,stage the,A2/B1
gefrustreerd,frustrated,A2/B1
gemeenschap de,community the,A2/B1
gemengd,mixed,A2/B1
heimwee de,homesickness the,A2/B1
integreren,to integrate,A2/B1
medelijden het,pity the,A2/B1
overwinnen,to conquer,A2/B1
perspectief het,perspective the,A2/B1
selecteren,to select,A2/B1
studiegenoot de,classmate the,A2/B1
tegenslag de,setback the,A2/B1
tegenzitten,to not go your way,A2/B1
toewijzen,to assign,A2/B1
vooroordeel het,preconception the,A2/B1
vormen,to form,A2/B1
zeldzaam,rare,A2/B1
